Date,symbol,open,high,low,Adj Close,Volume ETH,Volume USDT,tradecount
8/16/2018 0:00,ETH/USDT,281.46,298.6,277.55,287.17,235665.2551,67837020.51,116200
8/17/2018 0:00,ETH/USDT,286.84,318,285,317.51,342556.4607,103050444.6,169216
8/18/2018 0:00,ETH/USDT,317.51,321.33,281.79,294.11,384021.3883,115559326.6,170896
8/19/2018 0:00,ETH/USDT,294.1,307.4,288.2,299.42,288483.4484,85661942.29,118166
8/20/2018 0:00,ETH/USDT,299.3,304.04,269.5,270.51,219153.7894,63253937.42,122863
8/21/2018 0:00,ETH/USDT,270.51,285.9,269.7,281.21,224701.5767,62384768.41,113749
8/22/2018 0:00,ETH/USDT,281.09,298.89,259.5,270.8,403936.783,113458567.8,177686
8/23/2018 0:00,ETH/USDT,270.68,280.3,267.55,275.99,277304.6091,75819913.2,127845
8/24/2018 0:00,ETH/USDT,276.06,283.1,270.22,281.19,271850.2137,75029435.43,124399
8/25/2018 0:00,ETH/USDT,281.05,282.71,275.99,277.55,253375.4948,70728357.01,107965
8/26/2018 0:00,ETH/USDT,277.54,277.91,268.69,274.29,232525.9497,63548492.84,113465
8/27/2018 0:00,ETH/USDT,274.17,288.15,271.59,287.71,281020.6473,77863316,134261
8/28/2018 0:00,ETH/USDT,287.71,298,282.66,295.44,318323.2897,91895213.46,171500
8/29/2018 0:00,ETH/USDT,295.44,297,283.55,288.4,324275.4732,94515756.42,141609
8/30/2018 0:00,ETH/USDT,288.35,291,271.88,283.89,336993.1441,94748097.37,149454
8/31/2018 0:00,ETH/USDT,283.9,289,276.59,281.41,302663.3704,84967488.71,124162
9/1/2018 0:00,ETH/USDT,281.46,302,281.34,295.71,294944.4401,86146416.37,134032
9/2/2018 0:00,ETH/USDT,295.8,299.33,288.87,295.41,153300.0611,45141040.56,76484
9/3/2018 0:00,ETH/USDT,295.51,296.62,285.99,289.09,274753.7006,79640131.71,115284
9/4/2018 0:00,ETH/USDT,289.09,292.64,283,285.3,330102.19,94920949.99,128936
9/5/2018 0:00,ETH/USDT,285.18,287.62,227,228.53,528734.3196,136620124,218243
9/6/2018 0:00,ETH/USDT,228.28,233.19,212,229.7,552996.8657,124860778.4,241166
9/7/2018 0:00,ETH/USDT,229.73,234.69,213.5,215.22,398379.8174,88670418.82,162430
9/8/2018 0:00,ETH/USDT,215.19,220.2,190.01,196.71,318859.849,65385376.79,111890
9/9/2018 0:00,ETH/USDT,196.87,208.6,185.02,195.81,429255.0259,84861381.28,144803
9/10/2018 0:00,ETH/USDT,196.13,203.42,187.1,197.15,418489.8666,81950595.02,146713
9/11/2018 0:00,ETH/USDT,197.22,200.2,176.16,185.18,476745.7922,89920137.2,163958
9/12/2018 0:00,ETH/USDT,185.14,185.22,167.32,183.12,504047.7917,88384821.01,150831
9/13/2018 0:00,ETH/USDT,183.17,215,183.15,210.68,739503.3405,147281547.2,222128
9/14/2018 0:00,ETH/USDT,210.91,224.2,202.6,208.82,833945.8257,177613712.1,249947
9/15/2018 0:00,ETH/USDT,208.55,227.42,207.64,221.29,441046.5293,96594593.56,125321
9/16/2018 0:00,ETH/USDT,221.62,223.5,208.1,220.17,425538.5771,92372399.96,130886
9/17/2018 0:00,ETH/USDT,220.24,225,192.4,196.16,825020.7745,173019109.9,224178
9/18/2018 0:00,ETH/USDT,196.25,215.47,193.47,208.17,584366.1501,118777847.6,167048
9/19/2018 0:00,ETH/USDT,208.42,214.84,197.58,209.79,496100.4664,103133667.4,128769
9/20/2018 0:00,ETH/USDT,209.79,226.68,205.56,224,573632.2424,121706784.8,172813
9/21/2018 0:00,ETH/USDT,224,252.11,220.66,247.73,841029.1295,195225669.8,257566
9/22/2018 0:00,ETH/USDT,247.67,255.13,232.7,241.01,423740.7403,102510891.9,127522
9/23/2018 0:00,ETH/USDT,241.01,249.73,237,244.5,235214.1492,57084614.93,86877
9/24/2018 0:00,ETH/USDT,244.54,246.2,225.3,228.06,350139.1505,82504630.52,122214
9/25/2018 0:00,ETH/USDT,228.06,228.1,203.61,219.62,710650.7097,151991600.9,241874
9/26/2018 0:00,ETH/USDT,219.5,223.6,207.5,214.42,613754.2774,132187818.9,200388
9/27/2018 0:00,ETH/USDT,214.38,234,205.01,229.13,582274.4409,128104933.4,185910
9/28/2018 0:00,ETH/USDT,229.1,234.42,215.53,221.84,618434.6249,139637602.1,196556
9/29/2018 0:00,ETH/USDT,221.89,237.77,214.18,231.62,604000.9559,137238908.4,193800
9/30/2018 0:00,ETH/USDT,231.62,239,226.5,232.94,432195.4408,100778882,164400
10/1/2018 0:00,ETH/USDT,233.04,235.88,224.46,231.61,322900.4613,74363466.52,120621
10/2/2018 0:00,ETH/USDT,231.62,232.51,223.37,225.69,401305.3271,91706335.34,148279
10/3/2018 0:00,ETH/USDT,225.7,226.43,216.51,220.77,275609.2622,60784387.7,112473
10/4/2018 0:00,ETH/USDT,220.67,227.16,219.49,222.66,158137.4297,35468959.26,64786
10/5/2018 0:00,ETH/USDT,222.66,231.75,219.35,228.37,137730.3579,30900558.88,54454
10/6/2018 0:00,ETH/USDT,228.36,228.86,223.15,225.4,100257.5697,22656352.82,35875
10/7/2018 0:00,ETH/USDT,225.39,227.75,221.48,226.14,74733.67253,16774573.69,29693
10/8/2018 0:00,ETH/USDT,226.26,232.7,224.21,230.01,210989.422,48017160.06,77786
10/9/2018 0:00,ETH/USDT,230.01,231.02,226.56,228.4,100246.1843,22933859.79,42266
10/10/2018 0:00,ETH/USDT,228.4,228.78,224.05,226.74,122748.2141,27773272.16,54578
10/11/2018 0:00,ETH/USDT,226.7,226.91,189.01,191.58,497258.8287,101069066.8,189200
10/12/2018 0:00,ETH/USDT,191.55,201.87,190.04,196.96,216448.3922,42627353.08,90790
10/13/2018 0:00,ETH/USDT,196.96,202.78,196.27,201.3,107215.5262,21498264.31,45954
10/14/2018 0:00,ETH/USDT,201.39,203.56,194.33,197.01,110554.1936,22180535.07,37339
10/15/2018 0:00,ETH/USDT,196.84,239,194.6,214.39,973857.7477,212166629.6,298845
10/16/2018 0:00,ETH/USDT,214.39,219.95,211.55,215.09,145980.0984,31315676.32,83944
10/17/2018 0:00,ETH/USDT,215.2,216.99,210,212.85,153768.8502,32834161.52,75663
