Name,Code,Date,Open,Close,High,Low,Volume,First,Last
S*Mobarakeh Steel-a,FOLD,20180808,1538,1500.78,1542,1491,90041745,1535.75,1499.82
S*Mobarakeh Steel-a,FOLD,20180811,1501,1469.93,1494,1450,71695309,1486.47,1475.34
S*Mobarakeh Steel-a,FOLD,20180812,1470,1485.51,1531,1463,67466162,1475.34,1472.16
S*Mobarakeh Steel-a,FOLD,20180813,1486,1442.27,1466,1431,69704298,1462.94,1453.08
S*Mobarakeh Steel-a,FOLD,20180814,1442,1476.93,1507,1444,102268210,1443.86,1483.29
S*Mobarakeh Steel-a,FOLD,20180815,1477,1438.46,1459,1428,92549493,1440.68,1449.90
S*Mobarakeh Steel-a,FOLD,20180818,1438,1437.82,1463,1419,42787696,1434.96,1459.44
S*Mobarakeh Steel-a,FOLD,20180819,1438,1483.92,1506,1468,33805601,1468.98,1469.30
S*Mobarakeh Steel-a,FOLD,20180820,1484,1553.24,1558,1498,244672211,1497.91,1558.01
S*Mobarakeh Steel-a,FOLD,20180821,1553,1521.44,1551,1494,66970452,1511.90,1527.80
S*Mobarakeh Steel-a,FOLD,20180825,1521,1487.42,1533,1460,55448842,1532.57,1463.26
S*Mobarakeh Steel-a,FOLD,20180826,1487,1520.49,1558,1457,47736849,1462.62,1532.57
S*Mobarakeh Steel-a,FOLD,20180827,1520,1540.52,1564,1511,58561180,1551.65,1535.75
S*Mobarakeh Steel-a,FOLD,20180828,1541,1483.61,1519,1464,61480035,1516.67,1484.88
S*Mobarakeh Steel-a,FOLD,20180829,1484,1470.25,1504,1459,40495751,1488.38,1462.62
S*Mobarakeh Steel-a,FOLD,20180901,1470,1441.00,1479,1431,56622339,1465.80,1434.00
S*Mobarakeh Steel-a,FOLD,20180902,1441,1402.21,1440,1395,103793052,1440.36,1419.38
S*Mobarakeh Steel-a,FOLD,20180903,1402,1442.91,1472,1399,54814083,1427.64,1472.16
S*Mobarakeh Steel-a,FOLD,20180904,1443,1477.56,1501,1459,43853092,1491.24,1462.62
S*Mobarakeh Steel-a,FOLD,20180905,1478,1464.53,1485,1438,34121226,1465.80,1481.70
S*Mobarakeh Steel-a,FOLD,20180908,1465,1480.43,1510,1456,57656889,1475.66,1467.71
S*Mobarakeh Steel-a,FOLD,20180909,1480,1485.83,1510,1455,62982378,1462.62,1510.00
S*Mobarakeh Steel-a,FOLD,20180910,1486,1558.96,1560,1520,187787517,1519.85,1559.92
S*Mobarakeh Steel-a,FOLD,20180911,1559,1627.32,1637,1575,156318564,1605.70,1636.86
S*Mobarakeh Steel-a,FOLD,20180912,1627,1741.47,1794,1708,172289926,1708.40,1733.21
S*Mobarakeh Steel-a,FOLD,20180915,1741,1716.67,1777,1669,139633614,1777.08,1682.01
S*Mobarakeh Steel-a,FOLD,20180916,1717,1655.30,1717,1631,130244731,1669.29,1684.88
S*Mobarakeh Steel-a,FOLD,20180917,1655,1666.12,1711,1637,84434172,1688.37,1646.72
S*Mobarakeh Steel-a,FOLD,20180918,1666,1648.31,1675,1609,91126951,1634.32,1656.58
S*Mobarakeh Steel-a,FOLD,20180922,1648,1673.11,1688,1657,70299892,1666.12,1666.12
S*Mobarakeh Steel-a,FOLD,20180923,1673,1687.74,1711,1660,85003736,1660.07,1704.27
S*Mobarakeh Steel-a,FOLD,20180924,1688,1754.51,1772,1715,80321619,1719.21,1771.68
S*Mobarakeh Steel-a,FOLD,20180925,1755,1830.82,1842,1798,85867112,1812.38,1831.46
